Country,Food,Year,Export
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2007,5
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2010,0
American Samoa,"Beverages, spirits and vinegar",2000,105
American Samoa,"Beverages, spirits and vinegar",2001,55
American Samoa,"Beverages, spirits and vinegar",2002,25
American Samoa,"Beverages, spirits and vinegar",2003,60
American Samoa,"Beverages, spirits and vinegar",2004,119
American Samoa,"Beverages, spirits and vinegar",2005,75
American Samoa,"Beverages, spirits and vinegar",2006,195
American Samoa,"Beverages, spirits and vinegar",2007,34
American Samoa,"Beverages, spirits and vinegar",2008,350
American Samoa,"Beverages, spirits and vinegar",2010,30
American Samoa,"Beverages, spirits and vinegar",2011,20
American Samoa,"Beverages, spirits and vinegar",2012,10
American Samoa,"Beverages, spirits and vinegar",2013,110
American Samoa,"Beverages, spirits and vinegar",2014,0
American Samoa,"Beverages, spirits and vinegar",2015,40
American Samoa,"Beverages, spirits and vinegar",2016,20
American Samoa,"Beverages, spirits and vinegar",2017,25
American Samoa,"Beverages, spirits and vinegar",2018,120
American Samoa,"Cereal, flour, starch, milk preparations and products",2002,0
American Samoa,"Cereal, flour, starch, milk preparations and products",2003,85
American Samoa,"Cereal, flour, starch, milk preparations and products",2004,10
American Samoa,"Cereal, flour, starch, milk preparations and products",2005,5
American Samoa,"Cereal, flour, starch, milk preparations and products",2006,60
American Samoa,"Cereal, flour, starch, milk preparations and products",2007,62
American Samoa,"Cereal, flour, starch, milk preparations and products",2008,0
American Samoa,"Cereal, flour, starch, milk preparations and products",2009,15
American Samoa,"Cereal, flour, starch, milk preparations and products",2010,20
American Samoa,"Cereal, flour, starch, milk preparations and products",2011,34
American Samoa,"Cereal, flour, starch, milk preparations and products",2013,35
American Samoa,"Cereal, flour, starch, milk preparations and products",2014,10
American Samoa,"Cereal, flour, starch, milk preparations and products",2015,20
American Samoa,"Cereal, flour, starch, milk preparations and products",2016,5
American Samoa,"Cereal, flour, starch, milk preparations and products",2017,65
American Samoa,"Cereal, flour, starch, milk preparations and products",2018,75
American Samoa,Cereals,2002,75
American Samoa,Cereals,2007,95
American Samoa,Cereals,2010,10
American Samoa,Cocoa and cocoa preparations,2003,0
American Samoa,Cocoa and cocoa preparations,2004,0
American Samoa,Cocoa and cocoa preparations,2005,0
American Samoa,Cocoa and cocoa preparations,2011,0
American Samoa,Cocoa and cocoa preparations,2013,0
American Samoa,Cocoa and cocoa preparations,2014,0
American Samoa,Cocoa and cocoa preparations,2015,0
American Samoa,Cocoa and cocoa preparations,2016,0
American Samoa,Cocoa and cocoa preparations,2017,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2003,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2004,20
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2005,64
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2006,34
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2007,10
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2010,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2011,5
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2013,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2017,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2018,5
American Samoa,"Edible fruit, nuts, peel of citrus fruit, melons",2002,0
American Samoa,Edible vegetables and certain roots and tubers,2006,70
American Samoa,Edible vegetables and certain roots and tubers,2011,0
American Samoa,Edible vegetables and certain roots and tubers,2012,10
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2004,70
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2005,100
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2010,5
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2014,0
American Samoa,Meat and edible meat offal,2002,5
American Samoa,Meat and edible meat offal,2003,30
American Samoa,Meat and edible meat offal,2004,220
American Samoa,Meat and edible meat offal,2005,354
American Samoa,Meat and edible meat offal,2006,0
American Samoa,Meat and edible meat offal,2007,5
American Samoa,Meat and edible meat offal,2010,60
American Samoa,Meat and edible meat offal,2011,0
American Samoa,Meat and edible meat offal,2013,80
American Samoa,Meat and edible meat offal,2014,0
American Samoa,Meat and edible meat offal,2015,0
American Samoa,Meat and edible meat offal,2016,0
American Samoa,Meat and edible meat offal,2017,35
American Samoa,Meat and edible meat offal,2018,235
American Samoa,"Meat, fish and seafood food preparations nes",2000,125
American Samoa,"Meat, fish and seafood food preparations nes",2002,10
American Samoa,"Meat, fish and seafood food preparations nes",2003,40
American Samoa,"Meat, fish and seafood food preparations nes",2004,38
American Samoa,"Meat, fish and seafood food preparations nes",2005,29
American Samoa,"Meat, fish and seafood food preparations nes",2006,5
American Samoa,"Meat, fish and seafood food preparations nes",2007,0
American Samoa,"Meat, fish and seafood food preparations nes",2010,5
American Samoa,"Meat, fish and seafood food preparations nes",2011,4
American Samoa,"Meat, fish and seafood food preparations nes",2013,0
American Samoa,"Meat, fish and seafood food preparations nes",2014,45
American Samoa,"Meat, fish and seafood food preparations nes",2015,50
American Samoa,"Meat, fish and seafood food preparations nes",2016,40
American Samoa,"Meat, fish and seafood food preparations nes",2017,135
American Samoa,"Meat, fish and seafood food preparations nes",2018,30
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2006,30
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2007,200
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2009,115
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2010,15
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2011,0
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2015,0
American Samoa,Miscellaneous edible preparations,2003,23
American Samoa,Miscellaneous edible preparations,2004,50
American Samoa,Miscellaneous edible preparations,2005,15
American Samoa,Miscellaneous edible preparations,2006,15
American Samoa,Miscellaneous edible preparations,2007,5
American Samoa,Miscellaneous edible preparations,2009,0
American Samoa,Miscellaneous edible preparations,2010,3
American Samoa,Miscellaneous edible preparations,2011,10
American Samoa,Miscellaneous edible preparations,2012,0
American Samoa,Miscellaneous edible preparations,2013,5
American Samoa,Miscellaneous edible preparations,2014,0
American Samoa,Miscellaneous edible preparations,2015,0
American Samoa,Miscellaneous edible preparations,2016,5
American Samoa,Miscellaneous edible preparations,2017,0
American Samoa,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2000,5
American Samoa,Sugars and sugar confectionery,2000,0
American Samoa,Sugars and sugar confectionery,2003,0
American Samoa,Sugars and sugar confectionery,2006,4
American Samoa,Sugars and sugar confectionery,2007,50
American Samoa,Sugars and sugar confectionery,2011,14
American Samoa,Sugars and sugar confectionery,2013,0
American Samoa,Sugars and sugar confectionery,2014,0
American Samoa,Sugars and sugar confectionery,2015,10
American Samoa,Sugars and sugar confectionery,2016,0
American Samoa,Sugars and sugar confectionery,2017,0
American Samoa,Sugars and sugar confectionery,2018,15
American Samoa,Tobacco and manufactured tobacco substitutes,2000,0
American Samoa,"Vegetable, fruit, nut, etc food preparations",2006,5
American Samoa,"Vegetable, fruit, nut, etc food preparations",2007,80
American Samoa,"Vegetable, fruit, nut, etc food preparations",2011,15
American Samoa,"Vegetable, fruit, nut, etc food preparations",2013,0
American Samoa,"Vegetable, fruit, nut, etc food preparations",2018,0
Australia,"Animal,vegetable fats and oils, cleavage products, et",1995,47090
Australia,"Animal,vegetable fats and oils, cleavage products, et",1996,42085
Australia,"Animal,vegetable fats and oils, cleavage products, et",1997,31378
Australia,"Animal,vegetable fats and oils, cleavage products, et",1998,38226
Australia,"Animal,vegetable fats and oils, cleavage products, et",1999,30586
Australia,"Animal,vegetable fats and oils, cleavage products, et",2000,31243
Australia,"Animal,vegetable fats and oils, cleavage products, et",2001,31762
Australia,"Animal,vegetable fats and oils, cleavage products, et",2002,45436
Australia,"Animal,vegetable fats and oils, cleavage products, et",2003,46949
Australia,"Animal,vegetable fats and oils, cleavage products, et",2004,55964
Australia,"Animal,vegetable fats and oils, cleavage products, et",2005,54487
Australia,"Animal,vegetable fats and oils, cleavage products, et",2006,37693
Australia,"Animal,vegetable fats and oils, cleavage products, et",2007,43818
Australia,"Animal,vegetable fats and oils, cleavage products, et",2008,62170
Australia,"Animal,vegetable fats and oils, cleavage products, et",2009,43620
Australia,"Animal,vegetable fats and oils, cleavage products, et",2010,36048
Australia,"Animal,vegetable fats and oils, cleavage products, et",2011,39288
Australia,"Animal,vegetable fats and oils, cleavage products, et",2012,61262
Australia,"Animal,vegetable fats and oils, cleavage products, et",2013,40329
Australia,"Animal,vegetable fats and oils, cleavage products, et",2014,38744
Australia,"Animal,vegetable fats and oils, cleavage products, et",2015,36829
Australia,"Animal,vegetable fats and oils, cleavage products, et",2016,35582
Australia,"Animal,vegetable fats and oils, cleavage products, et",2017,45099
Australia,"Animal,vegetable fats and oils, cleavage products, et",2018,53546
Australia,"Beverages, spirits and vinegar",1995,65082
Australia,"Beverages, spirits and vinegar",1996,63135
Australia,"Beverages, spirits and vinegar",1997,63611
Australia,"Beverages, spirits and vinegar",1998,54617
Australia,"Beverages, spirits and vinegar",1999,59131
Australia,"Beverages, spirits and vinegar",2000,56285
Australia,"Beverages, spirits and vinegar",2001,67309
Australia,"Beverages, spirits and vinegar",2002,51453
Australia,"Beverages, spirits and vinegar",2003,51540
Australia,"Beverages, spirits and vinegar",2004,51860
Australia,"Beverages, spirits and vinegar",2005,52613
Australia,"Beverages, spirits and vinegar",2006,59541
Australia,"Beverages, spirits and vinegar",2007,51723
Australia,"Beverages, spirits and vinegar",2008,49904
Australia,"Beverages, spirits and vinegar",2009,49497
Australia,"Beverages, spirits and vinegar",2010,55086
Australia,"Beverages, spirits and vinegar",2011,61818
Australia,"Beverages, spirits and vinegar",2012,47201
Australia,"Beverages, spirits and vinegar",2013,49410
Australia,"Beverages, spirits and vinegar",2014,55902
Australia,"Beverages, spirits and vinegar",2015,60995
Australia,"Beverages, spirits and vinegar",2016,115136
Australia,"Beverages, spirits and vinegar",2017,72715
Australia,"Beverages, spirits and vinegar",2018,38223
Australia,"Cereal, flour, starch, milk preparations and products",1995,35834
Australia,"Cereal, flour, starch, milk preparations and products",1996,36514
Australia,"Cereal, flour, starch, milk preparations and products",1997,41792
Australia,"Cereal, flour, starch, milk preparations and products",1998,39931
Australia,"Cereal, flour, starch, milk preparations and products",1999,37345
Australia,"Cereal, flour, starch, milk preparations and products",2000,34657
Australia,"Cereal, flour, starch, milk preparations and products",2001,35037
Australia,"Cereal, flour, starch, milk preparations and products",2002,38237
Australia,"Cereal, flour, starch, milk preparations and products",2003,37533
Australia,"Cereal, flour, starch, milk preparations and products",2004,36877
Australia,"Cereal, flour, starch, milk preparations and products",2005,32668
Australia,"Cereal, flour, starch, milk preparations and products",2006,38332
Australia,"Cereal, flour, starch, milk preparations and products",2007,37208
Australia,"Cereal, flour, starch, milk preparations and products",2008,35944
Australia,"Cereal, flour, starch, milk preparations and products",2009,36416
Australia,"Cereal, flour, starch, milk preparations and products",2010,39780
Australia,"Cereal, flour, starch, milk preparations and products",2011,44877
Australia,"Cereal, flour, starch, milk preparations and products",2012,41531
Australia,"Cereal, flour, starch, milk preparations and products",2013,40581
Australia,"Cereal, flour, starch, milk preparations and products",2014,44668
Australia,"Cereal, flour, starch, milk preparations and products",2015,41761
Australia,"Cereal, flour, starch, milk preparations and products",2016,46162
Australia,"Cereal, flour, starch, milk preparations and products",2017,43839
Australia,"Cereal, flour, starch, milk preparations and products",2018,47565
Australia,Cereals,1995,952039
Australia,Cereals,1996,1008951
Australia,Cereals,1997,1152771
