Country,Food,Year,Import
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2002,545
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2003,405
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2004,115
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2005,535
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2006,160
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2007,1405
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2008,210
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2009,283
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2010,170
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2011,10
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2013,15
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2014,15
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2015,70
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2017,35
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2018,35
American Samoa,"Beverages, spirits and vinegar",2002,9565
American Samoa,"Beverages, spirits and vinegar",2003,7105
American Samoa,"Beverages, spirits and vinegar",2004,6348
American Samoa,"Beverages, spirits and vinegar",2005,15300
American Samoa,"Beverages, spirits and vinegar",2006,9793
American Samoa,"Beverages, spirits and vinegar",2007,8443
American Samoa,"Beverages, spirits and vinegar",2008,7925
American Samoa,"Beverages, spirits and vinegar",2009,6348
American Samoa,"Beverages, spirits and vinegar",2010,6620
American Samoa,"Beverages, spirits and vinegar",2011,11575
American Samoa,"Beverages, spirits and vinegar",2012,6293
American Samoa,"Beverages, spirits and vinegar",2013,21555
American Samoa,"Beverages, spirits and vinegar",2014,8563
American Samoa,"Beverages, spirits and vinegar",2015,8590
American Samoa,"Beverages, spirits and vinegar",2016,6420
American Samoa,"Beverages, spirits and vinegar",2017,10053
American Samoa,"Beverages, spirits and vinegar",2018,8125
American Samoa,"Cereal, flour, starch, milk preparations and products",2002,908
American Samoa,"Cereal, flour, starch, milk preparations and products",2003,1343
