DATAFLOW,Frequency,Time,Pacific Island Countries and territories,Indicator,Sex,Age,Urbanization,Poverty,Food security,Food category,OBS_VALUE,Unit of measure
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed more than the average number of products consumed in the group,Female,All ages,National,Total,Total,Eggs,0.0,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average quantity as acquired,Male,All ages,National,Total,Total,Pulses,0.0,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Central Kiribati,Average edible quantity,Total,All ages,National,Total,Total,Fruits and fruit products,120.1,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average edible quantity,Total,25-59,National,Total,Total,Milk and cheese,5.5,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Oils and fats,5.5,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Northern Kiribati,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Vegetables and vegetable products,16.6,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Central Kiribati,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Meat and meat products,40.5,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Male,All ages,National,Total,Total,Pulses,0.0,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Female,All ages,National,Total,Total,Alcoholic beverages,9.6,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Total,25-59,National,Total,Total,Spices and additive,1.4,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Total,All ages,National,No poverty,Total,Fish and fish products,243.3,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average Dietary Energy Consumption,Total,All ages,National,Poverty,Total,Cereals and cereal products,974.1,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,Urban,Total,Total,Oils and fats,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,South Tarawa,Average expenditures,Total,All ages,National,Total,Total,Roots and tubers,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Northern Kiribati,Average expenditures,Total,All ages,National,Total,Total,Cereals and cereal products,0.5,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Line & Phoenix,Average expenditures,Total,All ages,National,Total,Total,Sugars and syrups,0.2,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Male,All ages,National,Total,Total,Stimulants,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Female,All ages,National,Total,Total,Oils crops,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,National,No poverty,Total,Vegetables and vegetable products,0.1,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,National,Poverty,Total,Milk and cheese,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average expenditures,Total,All ages,National,Total,Food secure or mildly food insecur,Pulses,0.0,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,Rural,Total,Total,Oils and fats,5.2,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Line & Phoenix,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Total,Fruits and fruit products,85.7,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Male,All ages,National,Total,Total,Milk and cheese,31.6,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,60+,National,Total,Total,Vegetable oils and fats,66.6,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,National,No poverty,Total,Eggs,10.2,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Poverty,Total,Spices and additive,85.2,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Food secure or mildly food insecur,Cereals and cereal products,98.2,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Northern Kiribati,Average quantity as acquired,Total,All ages,National,Total,Total,Spices and additive,10.2,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average quantity as acquired,Male,All ages,National,Total,Total,Roots and tubers,7.7,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average quantity as acquired,Female,All ages,National,Total,Total,Vegetables and vegetable products,52.8,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average quantity as acquired,Total,15-24,National,Total,Total,Tobacco/kava,195.4,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Total,Miscellaneous and prepared foods,20.9,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed more than the average number of products consumed in the group,Total,15-24,National,Total,Total,Non alcoholoc beverages,6.5,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,No poverty,Total,Roots and tubers,4.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Food secure or mildly food insecur,Spices and additive,29.4,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Moderately or severely food insecure,Non alcoholoc beverages,20.0,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed less than the average number of products consumed in the group,Total,All ages,Urban,Total,Total,Vegetable oils and fats,72.2,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Percentage of households who consumed less than the average number of products consumed in the group,Female,All ages,National,Total,Total,Milk and cheese,28.6,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average number of products consumed by household by food group,Female,All ages,National,Total,Total,Roots and tubers,1.2,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average number of products consumed by household by food group,Total,15-24,National,Total,Total,Meals consumed away from home,4.7,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average number of products consumed by household by food group,Total,All ages,National,No poverty,Total,Oils crops,1.0,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2019,Kiribati,Average number of products consumed by household by food group,Total,All ages,National,Total,Moderately or severely food insecure,Meals consumed away from home,6.8,percent
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average quantity as acquired,Total,All ages,National,Total,Total,Oils and fats,0.4,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Choiseul,Average quantity as acquired,Total,All ages,National,Total,Total,Pulses,0.0,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average quantity as acquired,Total,25-59,National,Total,Total,Spices and additive,3.8,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average quantity as acquired,Total,All ages,National,Poverty,Total,Stimulants,0.9,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Temotu,Average edible quantity,Total,All ages,National,Total,Total,Stimulants,0.9,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average edible quantity,Male,All ages,National,Total,Total,Roots and tubers,760.4,g/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Choiseul,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Alcoholic beverages,0.1,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Rennell-Bell,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Roots and tubers,610.3,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Temotu,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Milk and cheese,0.0,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Honiara,Average Dietary Energy Consumption,Total,All ages,National,Total,Total,Fish and fish products,100.7,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average Dietary Energy Consumption,Female,All ages,National,Total,Total,Eggs,1.5,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average Dietary Energy Consumption,Total,15-24,National,Total,Total,Meat and meat products,16.0,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average Dietary Energy Consumption,Total,25-59,National,Total,Total,Pulses,0.0,kcal/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average expenditures,Total,All ages,Urban,Total,Total,Miscellaneous and prepared foods,0.5,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Central,Average expenditures,Total,All ages,National,Total,Total,Miscellaneous and prepared foods,0.1,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Temotu,Average expenditures,Total,All ages,National,Total,Total,Roots and tubers,2.7,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Average expenditures,Total,All ages,National,No poverty,Total,Alcoholic beverages,0.2,$/capita/day
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of HH who consumed at least one product of the group,Total,All ages,Rural,Total,Total,Miscellaneous and prepared foods,52.8,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Western,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Total,Non alcoholoc beverages,34.9,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Honiara,Percentage of HH who consumed at least one product of the group,Total,All ages,National,Total,Total,Eggs,23.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of HH who consumed at least one product of the group,Total,15-24,National,Total,Total,Meals consumed away from home,19.0,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of HH who consumed at least one product of the group,Total,25-59,National,Total,Total,Tree nuts,18.7,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Choiseul,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Total,Stimulants,26.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Western,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Total,Miscellaneous and prepared foods,13.0,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Isabel,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Total,Total,Fruits and fruit products,46.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed more than the average number of products consumed in the group,Male,All ages,National,Total,Total,Cereals and cereal products,44.1,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed more than the average number of products consumed in the group,Female,All ages,National,Total,Total,Oils crops,27.5,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,No poverty,Total,Vegetables and vegetable products,42.3,units
SPC:DF_FOOD_SECURITY_HIES_3(1.0),Annual,2012,Solomon Islands,Percentage of households who consumed more than the average number of products consumed in the group,Total,All ages,National,Poverty,Total,Milk and cheese,0.0,units
